,0
2,0.5859845901703964
3,0.6050057563921799
4,0.4531289335351322
5,0.4788146919227003
6,0.48635565202092806
7,0.47697782036522113
8,0.39532690089747596
9,0.38721762824316325
10,0.35165603604999185
