"","Beta_n_3","Beta_n_5","Beta_n_30"
"1",0.400244661286637,0.434471096129773,0.460742135307652
"2",0.438458821797004,0.471675342047201,0.451303794543006
"3",0.462121754199893,0.456982439539132,0.459384116058118
"4",0.469366814111887,0.464814295924386,0.458396843440828
"5",0.425479391907459,0.45759869269744,0.447549897922458
"6",0.465424705286709,0.476570137050513,0.455069830697283
"7",0.428926880815989,0.445636190955105,0.453339908510151
"8",0.42763656971876,0.442012082084394,0.453084460536947
"9",0.451180278392257,0.435401424575811,0.453578852326623
"10",0.368606911055152,0.421751273817699,0.45021482615337
"11",0.465152134839546,0.510802259778709,0.442911496337176
"12",0.452569052339792,0.429710013254984,0.435734241714115
"13",0.423173393045779,0.426119946696391,0.448287741643748
"14",0.470826555542291,0.416891516699103,0.471396447910002
"15",0.461655253015991,0.466504752314991,0.44637991333303
"16",0.440989767984155,0.463554654716434,0.447862092475071
"17",0.47271632351885,0.47234239185486,0.448679708413548
"18",0.468757462471489,0.460578332712106,0.451822067029112
"19",0.401951502049404,0.452037104677838,0.462634273765054
"20",0.443273273396264,0.423674364216695,0.445212604090965
"21",0.431727028878523,0.442312871537041,0.455019027782022
"22",0.449954656469237,0.498704963453375,0.448907972975944
"23",0.415842649482956,0.447130580298285,0.471290028825944
"24",0.470585661588996,0.41156442485333,0.446397805308506
"25",0.470691341866102,0.440104042432619,0.457221103356497
"26",0.453483560293692,0.428638010648668,0.480662728341023
"27",0.377154632982756,0.448187555229991,0.463604039867298
"28",0.443971074604071,0.493844036647244,0.447110463511568
"29",0.446581243211471,0.47507171015979,0.456293609303629
"30",0.412642471141031,0.471921811249286,0.44321208384249
"31",0.451073132763773,0.438725334522444,0.440847256038294
"32",0.39646728986976,0.444221686433666,0.46022654041204
"33",0.440205824135239,0.44991564885863,0.445701044106397
"34",0.466530229851167,0.408978293772227,0.448694729402649
"35",0.473569297923326,0.480602954725145,0.46321730721385
"36",0.445697464104152,0.461548000727814,0.443398543789421
"37",0.465255623612875,0.451238314655385,0.461122647533764
"38",0.437105194121514,0.453692842773531,0.447357642801514
"39",0.472130679854129,0.430456865613423,0.451111276490168
"40",0.425585428129264,0.481513337957462,0.454523614976928
"41",0.422495606571851,0.460695921249235,0.450765497526684
"42",0.391989415212666,0.409829654016213,0.44292849713617
"43",0.459480692937278,0.450353860728187,0.451277440442573
"44",0.455576746231706,0.466523924262665,0.441172368361614
"45",0.435513427669964,0.403924996150071,0.441419068359827
"46",0.474097394911462,0.385560123069815,0.449136621513286
"47",0.486210920978721,0.460954339934793,0.439562126992408
"48",0.453849916183378,0.456726925826809,0.449904285627055
"49",0.519789335282171,0.414551325831933,0.447117415774713
"50",0.472361817297477,0.445336133601361,0.460492845757322
"51",0.433576943878213,0.461498534337903,0.450097681705945
"52",0.497724997896162,0.484333261155682,0.45254818881746
"53",0.463892615752604,0.446782540277052,0.451773270843326
