"","Beta_n_3","Beta_n_5","Beta_n_30"
"1",0.419126875986586,0.460665393635329,0.427106832733574
"2",0.412890182378039,0.421146996804923,0.430625191851565
"3",0.451012052266612,0.46885201804908,0.43816866936612
"4",0.439713578126877,0.439598850757001,0.43649408857594
"5",0.449464919333303,0.406237847269786,0.423662381444346
"6",0.418480570359943,0.418580435478487,0.442324848549659
"7",0.422001563284328,0.473474575755453,0.429265760726758
"8",0.421817522081818,0.401501776024,0.429378783310613
"9",0.384796247512227,0.402339595242166,0.448790561359502
"10",0.406535780205001,0.440648539531445,0.440139625680103
"11",0.424817209716161,0.428847883314931,0.435912962777372
"12",0.471352347127418,0.438185350517277,0.438978669129126
"13",0.43194956759638,0.42233181773573,0.431115945982693
"14",0.404268039711323,0.458953099252145,0.42186579901013
"15",0.421676338745898,0.463771033325763,0.435927777082432
"16",0.420742780455109,0.422375702916049,0.423364255381085
"17",0.38676265481743,0.401295194942275,0.434331632888986
"18",0.380342330037534,0.393432329839716,0.422737000891913
"19",0.418768200586241,0.460155853363842,0.432460719015918
"20",0.398554068978424,0.448457149954256,0.441117589875669
"21",0.414435034434214,0.419710603804223,0.436419855809812
"22",0.396861096860625,0.443683758654275,0.430455419062299
"23",0.430857154962754,0.440003828844623,0.431870089325641
"24",0.450074088133311,0.430485685335676,0.446467647998181
"25",0.449263511331606,0.448758451810492,0.429084950083993
"26",0.417429931641406,0.45352161546826,0.446319364875311
"27",0.484362300707152,0.40084699338947,0.435910597504986
"28",0.437000594950274,0.420935862011762,0.421757499554641
"29",0.414271470638447,0.43903172372835,0.44117280179547
"30",0.413761258476351,0.44800103266625,0.434801576154802
"31",0.43839535521309,0.442171647225638,0.431763991988741
"32",0.405657671758166,0.46715210196831,0.429113040455293
"33",0.433123663002797,0.459742633682635,0.43631628173001
"34",0.444755396010706,0.470474573153018,0.440189475944959
"35",0.440240747558881,0.359204811384085,0.436399483129537
"36",0.386766162976786,0.397590034974378,0.434642465439799
"37",0.428499321082105,0.452941786322895,0.428277215185105
"38",0.437337318743253,0.447736251563876,0.43534016273221
"39",0.442325476996815,0.427378687946265,0.432565684236809
"40",0.449861175259715,0.425349571915442,0.438262395927024
"41",0.422529011352642,0.442176896329924,0.424871109783364
"42",0.45303423190447,0.475460668638824,0.436356137224355
"43",0.453730298234213,0.428083667738998,0.428348554978869
"44",0.468465506644484,0.4643192701628,0.429281726183764
"45",0.504859258637762,0.439915652229736,0.433902426888928
"46",0.464593300576117,0.43626333447567,0.441831438681369
"47",0.448198898276007,0.447573222151984,0.432494796601342
"48",0.401280767518987,0.43176937730516,0.452980646724445
"49",0.421621955506789,0.45232363178787,0.430145614868715
"50",0.450273677565223,0.45251582602329,0.433776463808238
"51",0.439285824714361,0.435134258836552,0.430807553119913
"52",0.412458793073487,0.451466873910153,0.435983332900477
"53",0.431908210236938,0.429748006617136,0.417462094793079
"54",0.453570373848377,0.400946858874915,0.424920879784308
"55",0.476822915892552,0.454610898910052,0.437759324303606
"56",0.402359449209919,0.420092984160541,0.425604698383936
"57",0.409578534688309,0.430836922233589,0.430356128454835
"58",0.42006898400553,0.393092673054712,0.442258337110833
"59",0.451108600682777,0.454006603124349,0.424155997745226
"60",0.455506954426631,0.444568913868781,0.42702127695071
"61",0.466900701417282,0.411869848901284,0.450642505813209
"62",0.375390125244785,0.435594941272714,0.443295176666311
"63",0.428602920444639,0.433728813834687,0.431514335672398
"64",0.40752911691919,0.440249623178523,0.434265939668281
"65",0.458951921946197,0.447838295813275,0.434751401428047
"66",0.382773489410685,0.419751843847867,0.422423707483292
"67",0.41546327383213,0.44739346272884,0.44273881303387
"68",0.494013422874647,0.396983744501148,0.423043527285857
"69",0.433080018834785,0.454626263226668,0.432964607490137
"70",0.44948371345906,0.424902727873839,0.415913766597702
"71",0.437752530202892,0.456744194709409,0.424292054484072
"72",0.463142876581094,0.449003261239866,0.43284257907607
"73",0.406107721053554,0.436461905787616,0.432798703928848
"74",0.413849631479531,0.429922245132822,0.439577780780879
"75",0.423310314421771,0.420673170814619,0.456152753175413
"76",0.484548532351101,0.438019601859254,0.429845737921116
"77",0.437593897644803,0.418962234265322,0.430513832583995
"78",0.457706362776789,0.435114043790861,0.433643159720038
"79",0.442341318377238,0.424935056493172,0.452194464568664
"80",0.425165344722104,0.410366279439174,0.451486391956593
"81",0.445043142454375,0.463631395575463,0.424867987570617
"82",0.403794033149453,0.420890362653076,0.421237761565768
"83",0.449818851344824,0.407986245021443,0.436917460603421
"84",0.377775523872061,0.465815592560141,0.423508957222279
"85",0.455271833049847,0.455308686984794,0.442839501972062
"86",0.488468421468083,0.442557798888092,0.456332213207461
"87",0.484492606997912,0.452655650546455,0.443136523195183
"88",0.495861811186621,0.456040016259639,0.445614249185855
"89",0.391845816416124,0.450970188629268,0.44844562911816
"90",0.493838705701688,0.442911864430097,0.433599690836415
"91",0.455353608090832,0.399725424393868,0.432832746664116
"92",0.403559914507944,0.403492264091435,0.441853185526567
"93",0.351741168711835,0.405860525774899,0.442643738615005
"94",0.471086003128133,0.437967130226386,0.430179524438734
"95",0.416628054637267,0.46565745150633,0.43302841956941
"96",0.4151685994065,0.432920431386612,0.438959070495038
"97",0.430078064641787,0.398741782114885,0.439430239178599
"98",0.40733872863227,0.447014277334883,0.430940580127797
"99",0.457260825197668,0.418888892581107,0.432002427582009
"100",0.427126880249304,0.424548935667666,0.441434492851611
"101",0.411888502660997,0.476706131016323,0.433783684222502
"102",0.491593641468885,0.45291961797501,0.424459155860339
"103",0.430260883437411,0.431806755873495,0.440673127662728
"104",0.448837607444709,0.423906229513704,0.437876840821738
"105",0.437630588676927,0.44826995815098,0.403839041195588
"106",0.448420743524134,0.418900934432289,0.42534354509038
"107",0.439526830172195,0.414183612013721,0.417626367921178
"108",0.350790295116122,0.427298716806163,0.422487555652601
"109",0.361203307687522,0.427288158427436,0.441184103579629
"110",0.438800329099151,0.464236210037195,0.429345190490623
"111",0.435825412635032,0.427783697938265,0.448014497167225
"112",0.42221854460299,0.430351622318104,0.429926343101293
"113",0.40562790248016,0.433745111553057,0.428106068592909
"114",0.42814029856548,0.477512447589808,0.444230564354084
"115",0.419688916637816,0.443091361916404,0.447811062813976
"116",0.451701911463827,0.458263916123122,0.435052976444406
"117",0.455174722479212,0.438657859498348,0.427830330899886
"118",0.429866864173241,0.421927065468775,0.46409771214744
"119",0.437073890214046,0.455302260497815,0.456458310683952
"120",0.469703478605427,0.416812452956082,0.444621893465481
"121",0.468557868146534,0.464706990160977,0.432130351120657
"122",0.393069765305758,0.440409625886818,0.437698658556412
"123",0.45848181473699,0.473149791992853,0.432892177627349
"124",0.420419609036636,0.45261660304604,0.437121706880542
"125",0.440465039046017,0.44141484530856,0.43762877156651
"126",0.397913381523448,0.446108928825529,0.441046048461714
"127",0.422687739684266,0.442251303283984,0.428675472284974
"128",0.419180315304994,0.441681533055337,0.43038401923566
"129",0.442582452239333,0.441515352976078,0.440958006048777
"130",0.451635107719575,0.463709372509642,0.427581634342834
"131",0.483283710529442,0.420175583581542,0.44357375502211
"132",0.422776086595874,0.423346689696653,0.437217877930836
"133",0.379029072211931,0.461939156446852,0.425376796343645
"134",0.444266565836079,0.421922696729583,0.425590036236384
"135",0.401519348984081,0.454806269791269,0.444521178263318
"136",0.419517110586912,0.482577619994212,0.435621879103474
"137",0.445811923995011,0.445513097846159,0.44618897390457
"138",0.421619876823356,0.427294981345816,0.440700471896697
