"Beta_n_3","Beta_n_5","Beta_n_30"
0.400244661286637,0.434471096129773,0.460742135307652
0.438458821797004,0.471675342047201,0.451303794543006
0.462121754199893,0.456982439539132,0.459384116058118
0.469366814111887,0.464814295924386,0.458396843440828
0.425479391907459,0.45759869269744,0.447549897922458
0.465424705286709,0.476570137050513,0.455069830697283
0.428926880815989,0.445636190955105,0.453339908510151
0.42763656971876,0.442012082084394,0.453084460536947
0.451180278392257,0.435401424575811,0.453578852326623
0.368606911055152,0.421751273817699,0.45021482615337
0.465152134839546,0.510802259778709,0.442911496337176
0.452569052339792,0.429710013254984,0.435734241714115
0.423173393045779,0.426119946696391,0.448287741643748
0.470826555542291,0.416891516699103,0.471396447910002
0.461655253015991,0.466504752314991,0.44637991333303
0.440989767984155,0.463554654716434,0.447862092475071
0.47271632351885,0.47234239185486,0.448679708413548
0.468757462471489,0.460578332712106,0.451822067029112
0.401951502049404,0.452037104677838,0.462634273765054
0.443273273396264,0.423674364216695,0.445212604090965
0.431727028878523,0.442312871537041,0.455019027782022
0.449954656469237,0.498704963453375,0.448907972975944
0.415842649482956,0.447130580298285,0.471290028825944
0.470585661588996,0.41156442485333,0.446397805308506
0.470691341866102,0.440104042432619,0.457221103356497
0.453483560293692,0.428638010648668,0.480662728341023
0.377154632982756,0.448187555229991,0.463604039867298
0.443971074604071,0.493844036647244,0.447110463511568
0.446581243211471,0.47507171015979,0.456293609303629
0.412642471141031,0.471921811249286,0.44321208384249
0.451073132763773,0.438725334522444,0.440847256038294
0.39646728986976,0.444221686433666,0.46022654041204
0.440205824135239,0.44991564885863,0.445701044106397
0.466530229851167,0.408978293772227,0.448694729402649
0.473569297923326,0.480602954725145,0.46321730721385
0.445697464104152,0.461548000727814,0.443398543789421
0.465255623612875,0.451238314655385,0.461122647533764
0.437105194121514,0.453692842773531,0.447357642801514
0.472130679854129,0.430456865613423,0.451111276490168
0.425585428129264,0.481513337957462,0.454523614976928
0.422495606571851,0.460695921249235,0.450765497526684
0.391989415212666,0.409829654016213,0.44292849713617
0.459480692937278,0.450353860728187,0.451277440442573
0.455576746231706,0.466523924262665,0.441172368361614
0.435513427669964,0.403924996150071,0.441419068359827
0.474097394911462,0.385560123069815,0.449136621513286
0.486210920978721,0.460954339934793,0.439562126992408
0.453849916183378,0.456726925826809,0.449904285627055
0.519789335282171,0.414551325831933,0.447117415774713
0.472361817297477,0.445336133601361,0.460492845757322
0.433576943878213,0.461498534337903,0.450097681705945
0.497724997896162,0.484333261155682,0.45254818881746
0.463892615752604,0.446782540277052,0.451773270843326
0.419894909668774,0.432351290216015,0.461581721016174
0.443726463062506,0.444557291495282,0.417813740452656
0.435537081987657,0.462973746236362,0.446138007098335
0.435960614194951,0.458510482704947,0.456209904837613
0.484544210506264,0.419837426000273,0.454847445017455
0.481654261376852,0.459364767935875,0.431364536137759
0.420972120674399,0.485032140246233,0.453274042414911
0.421601712340487,0.449965888609231,0.455763387426133
0.404515752954524,0.414507449212284,0.46377141060334
0.435609756076154,0.47041076828625,0.469436307830254
0.458848247834112,0.450590387234613,0.451157460354006
0.426470440153963,0.490655257405053,0.441451085281234
0.467323815681277,0.44954957248488,0.463119008717132
0.435698116539256,0.466566984065414,0.447651456904924
0.504567033095512,0.420625314006297,0.442396596444087
0.451943904469606,0.456968178305925,0.438361930935833
0.46285334900825,0.445067908524893,0.462487538196518
0.443648724603975,0.466778580920569,0.43370785459801
0.484331279737462,0.452975462554146,0.440833771777799
0.461980673951023,0.466539391669265,0.445182003015162
0.494244806702334,0.448023103412397,0.447435904614939
0.473990028285163,0.445767251939123,0.458796301674943
0.409394490464004,0.458119445775578,0.438935832821649
0.471435858934118,0.433478314623305,0.451090884883256
0.432065721788229,0.463931622809612,0.444311431544067
0.429444011658157,0.439151903422875,0.455125073953228
0.487574751231864,0.463341463195067,0.458914637058405
0.486182639532125,0.466341460206825,0.438652253243328
0.443522981111188,0.411917223481094,0.461164676536918
0.433552085428894,0.452649655528569,0.457566520258857
0.484233073727205,0.431192268500183,0.461168226796829
0.410792236382371,0.473840911862202,0.453886766773232
0.443228116547804,0.492054714769274,0.451889795114024
0.462812857189812,0.423806571724874,0.435679934359458
0.412633436997073,0.482583690816021,0.460112399787645
0.452184741131736,0.448784383577935,0.451967930296468
0.455820744738585,0.446072856164467,0.448517804489458
0.459672226900726,0.443673795611451,0.433008555076177
0.439817720318801,0.454716766927865,0.465577154123017
0.445695459964054,0.481722621636575,0.433959300814895
0.445329391464636,0.48807264585097,0.443473540706513
0.450297745060733,0.461593494480555,0.441850693156419
0.446722102483558,0.440595346061556,0.461645302533916
0.443506763939808,0.475191878652917,0.441751754298727
0.436970006183262,0.42151662803393,0.445701702460675
0.415407624280157,0.439087006190521,0.456310296896228
0.429931447435911,0.421542159836611,0.451872547981164
0.409771529350148,0.457220056069959,0.45610548229691
0.422164436020825,0.431499602607898,0.454134597599772
0.411119168980126,0.417799408000475,0.452271527003558
0.43973066585887,0.460545857373308,0.436987676595371
0.432596452396016,0.435105379111198,0.460391329692024
0.457276206390802,0.453995585894357,0.447101783354556
0.436724703725854,0.447146307736095,0.460853793322456
0.464254375540347,0.434692433552611,0.459898614598472
0.475236869428049,0.442043924313731,0.45625409281366
0.4182375495778,0.441484250005034,0.449097807378126
0.449337449539639,0.43661564461424,0.444173450385698
0.429264128429752,0.453247921480217,0.447319571276372
0.477525785779108,0.479594649316414,0.435547036883108
0.449574307709107,0.445503998344724,0.448728992834819
0.471614821597407,0.41598424041643,0.462176731585717
0.471286084927156,0.435831820889631,0.443988625990756
0.447490518157811,0.440617832745642,0.451266190420912
0.484679732063123,0.420145942162065,0.462808238113719
0.446960499203935,0.434318928499912,0.446442970947083
0.428723231725861,0.469195707907539,0.439756553759401
0.481275275520233,0.461881954636386,0.448108079917383
0.495044433718647,0.434269362901646,0.437580890839813
0.445670271407224,0.464994074646889,0.45529668073842
0.408206972916997,0.438197094694094,0.461697935116315
0.441573653757639,0.475213215422333,0.45342668210838
0.376286058897739,0.479520758589104,0.460482166994752
0.454996045549906,0.489898813892376,0.451864105285457
0.45769221142023,0.467932985757714,0.452922659754604
0.451450039797131,0.469853280083107,0.460699816336661
0.462231461372857,0.47916474175347,0.442026819170205
0.449145590176053,0.441823652562317,0.455208617070027
0.449438090109885,0.427895055922692,0.445425949817113
0.465401563795863,0.483206542506944,0.461209567983037
0.48832899849937,0.47516685686541,0.452964877100676
0.453682042522419,0.447282062252403,0.458450592186814
0.360597790984202,0.434669661620481,0.456639665093761
0.373948197891484,0.436035542049615,0.465064248543896
0.461864604221962,0.41490488377893,0.446811525620356
0.458133350838025,0.440150487317734,0.445889622932822
0.4790532867682,0.462729452696827,0.430834202232086
0.425971562516416,0.464671725604973,0.453265313223522
0.435131122269842,0.451266983522251,0.448769946036388
0.467291436133108,0.439235755170158,0.453233778643824
0.483651280316062,0.492285294713965,0.441899135486322
0.403011060124683,0.474748821415492,0.448233223319767
0.42887894325903,0.478181470288877,0.44890170997795
0.44094327782347,0.450803247472824,0.45887358421339
0.443387293760921,0.414037677891438,0.451774083024325
0.461049519237141,0.47478520889653,0.444562390774625
0.435308337805993,0.474549458676197,0.450486654214265
0.502596429359608,0.435379935921641,0.436159617292539
0.454936473245246,0.432263908688326,0.442685430977557
0.438298032497295,0.410451780334956,0.439616395186261
0.414232096408768,0.469549637054104,0.446172779601809
0.525398383521861,0.467319307891875,0.444809423244212
0.378920915797086,0.434073184340877,0.444398012392106
0.477201162732996,0.454352800679441,0.445686189164866
0.400170018756734,0.45751302829021,0.466962335649544
0.397187734307984,0.431444506550594,0.454475637720841
0.438224635284266,0.452090433015219,0.457615592268218
0.446148575773924,0.436686966848934,0.457782956756354
0.430952644776422,0.458992031497394,0.437549930534352
0.43670257784723,0.470612750035121,0.454578354162461
0.463725836594307,0.453803031790781,0.439178119942042
0.462205719292909,0.4227161145802,0.452719249489983
0.446321792140447,0.435591010646458,0.441431831842077
0.453071756692539,0.464703839518205,0.469915266140485
0.415436057189386,0.444604470502896,0.443754597617024
0.462613778005808,0.418661532115961,0.460062325390843
0.45272640418961,0.491597409444801,0.448256499845336
0.462602459805366,0.465717116620735,0.437588672831332
0.428761337961272,0.444422595077761,0.453203362197749
0.418882542821211,0.454024822910348,0.434081457644263
0.43118606148724,0.443256250444111,0.43640535160204
0.412931805337999,0.431287137672816,0.454824195081974
0.452099098160667,0.449361634283535,0.439731932673083
0.437924072100758,0.43307927514857,0.436384139746208
0.418116483161018,0.442253039262931,0.447081465065704
0.493955822934917,0.494722993978006,0.443586462554904
0.457371622726065,0.366619443221159,0.462735035951812
0.446560283222194,0.439998362889833,0.455882017330042
0.471281914244779,0.405219742550532,0.457357242043493
0.410336139812685,0.492042526892284,0.443771931882749
0.469316305105215,0.459042384038761,0.458405230921615
0.476028298519071,0.451324491364045,0.434255988699933
0.460766650505965,0.420181645883959,0.458566060864837
0.418202040367426,0.442744874016848,0.428911809475241
0.435492318828776,0.480572152642216,0.447014563188627
0.485431470113216,0.462443344282245,0.451204096158479
0.427372649307949,0.415976982300735,0.455117954001923
0.442458877410672,0.460108843463886,0.438418316987559
0.470927851539663,0.433747227365736,0.44915848057245
0.423349356841872,0.463266627731723,0.457803388747399
0.480605737513327,0.444547207939133,0.462338673190181
0.474625990369811,0.465635238506795,0.448272392831952
0.435760603718388,0.490160423231373,0.45671107701737
0.44741822143492,0.446347557547273,0.467004441371776
0.473688822353879,0.436546966416843,0.448407393221888
0.454106740101294,0.444359645816726,0.470627123399516
0.458174610941557,0.45651119306568,0.447347230609807
0.454751748976574,0.42950441325388,0.464011556040111
0.458188985272457,0.431586896639994,0.441675942175291
0.45683099528065,0.400706467146935,0.461674415010114
0.466411112801187,0.458905015528258,0.427981567967196
0.448008437452824,0.461616401342994,0.454768321991104
0.400114539672346,0.470933100514127,0.460147532140313
0.399782187961209,0.427912137378613,0.431151898823421
0.438477788963655,0.4661693278072,0.459513872508228
0.422014293333283,0.452547122750594,0.462810399013057
0.478115992304424,0.453914427823053,0.453220840085013
0.458506861379995,0.459481950634541,0.454579703115543
0.462916878935744,0.444643616078357,0.453923432959958
0.441536604394459,0.416505120410803,0.444529266638471
0.443866478016303,0.4296493506459,0.444057652399912
0.451271095432064,0.467592191306906,0.450421260027317
0.435007069094435,0.431422398274194,0.45093765999303
0.461171713136688,0.456754249885823,0.453542461029901
0.451220851733467,0.429081775364661,0.446771803481968
0.430607068203697,0.439580227719348,0.45782878282746
0.447036712169752,0.456111674464717,0.455615550747361
0.42251332882248,0.467788935253209,0.43776044199688
0.45048212176925,0.438075077693803,0.446559555174984
0.455730994304679,0.425730996669438,0.448985867505888
0.463032896894817,0.432356412599438,0.461473896151814
0.443794214287715,0.457670781482544,0.4620611994998
0.45972947425352,0.442618140298608,0.436423293400843
0.504994351573535,0.455056869354175,0.449666045156327
0.424859533347244,0.43769813868192,0.450793027968405
0.426450103603772,0.473324596859291,0.454075338319198
0.433109996373883,0.431576326557639,0.456276680377601
