"","Beta_n_3","Beta_n_5","Beta_n_30"
"1",0.463693852976628,0.432497882953941,0.45525370462411
"2",0.480799559094881,0.470361006920761,0.458892642165453
"3",0.480974742561617,0.48935577248722,0.457066552798181
"4",0.456861120731361,0.419544413796488,0.442523027871496
"5",0.49214570483969,0.440302675863522,0.464894787296096
"6",0.445683726410081,0.475477300983823,0.44158051558329
"7",0.44681605324695,0.477805552614833,0.449846420952718
"8",0.428835092186747,0.448645396025631,0.454358046316271
"9",0.410662351969856,0.441666004273247,0.452951541405592
"10",0.456165303297107,0.439775634093913,0.444033850183323
"11",0.529424261930819,0.432929499447618,0.436149392479357
"12",0.44713355708146,0.500016287788603,0.451156612126786
"13",0.371185049270594,0.458282424953165,0.467154635897471
"14",0.412661831976622,0.436857541752627,0.446537063534392
"15",0.475534090303174,0.48402516133009,0.45377832591372
"16",0.406545116846347,0.463241222327322,0.443729545589311
"17",0.436487804392611,0.468798318815275,0.436998076407444
"18",0.426447244143923,0.410427154925692,0.462427623803227
"19",0.45719184375974,0.507090786456831,0.454733394688092
"20",0.467667980597978,0.434430343254242,0.455595814828742
"21",0.414592850495015,0.466798316357824,0.45235687329977
"22",0.486831136971485,0.439817958020857,0.440770026423456
"23",0.445837318531615,0.461105659736759,0.442980348516147
"24",0.451992912310616,0.450620133097009,0.45511500321052
"25",0.448820154159362,0.470401468083014,0.446554818052196
"26",0.437462119395461,0.443741220932014,0.445701935710458
"27",0.446408685723815,0.486643715881966,0.463774879535337
"28",0.380968694426637,0.483553257992597,0.441300462316171
"29",0.440301847743937,0.4466341742959,0.436459783334136
"30",0.46100504662462,0.457922379754327,0.427763535906347
"31",0.445237110097816,0.437546474936636,0.459713809987041
"32",0.457340365849499,0.449596856685291,0.465573804302516
"33",0.545070209110742,0.42783863568929,0.447737943514912
"34",0.47921113660478,0.421193453631028,0.463561688784989
"35",0.484413441202767,0.496048057185035,0.450651523207873
"36",0.545484271958494,0.456016143779828,0.451130994024744
"37",0.498123347212373,0.443243697273387,0.463297417451546
"38",0.45458343621461,0.504808028277943,0.449493097440193
"39",0.45829631981001,0.474572630864171,0.446254570618914
"40",0.399376743644015,0.472517469019191,0.434018506217566
"41",0.472719151271727,0.462847434622975,0.456853348780521
"42",0.470749981728132,0.472408785548664,0.449020661172271
"43",0.426653436442984,0.495329521645607,0.44788482582706
"44",0.399291823398432,0.412773989286742,0.441946616095966
"45",0.553839980420517,0.459644085603013,0.461357154732007
"46",0.413222342439744,0.433713857093773,0.44235451846754
"47",0.466947791978389,0.456766744053442,0.460299417640382
"48",0.510857899441531,0.477216821327789,0.44149047793467
"49",0.424714335671315,0.426301659155345,0.447729812747966
"50",0.449191643617471,0.489345560049818,0.441715505125429
"51",0.493045121333054,0.488546630310452,0.433146306136925
"52",0.448770390091968,0.442530420006657,0.449825490200277
"53",0.439225778775589,0.432930889215955,0.437095983764857
"54",0.403953430984297,0.457591764992839,0.445596611798635
"55",0.466417846059401,0.471130589939056,0.440041150639499
"56",0.492787677384414,0.409217390314346,0.453594824992412
"57",0.46086322482811,0.445582374366306,0.450564656071512
"58",0.425382042753272,0.432108576533541,0.430760160984247
"59",0.450144675965115,0.39550011185678,0.457355034394225
"60",0.452403818714923,0.425918071470554,0.427897038482609
"61",0.455482380936107,0.488553592223992,0.450893219571264
"62",0.447966171601773,0.456705062375464,0.446374712943378
"63",0.404234361624756,0.479702285435039,0.444012858304527
"64",0.434681563526315,0.443822370980588,0.458048367527848
"65",0.41993485684089,0.478832508861367,0.457294435307942
"66",0.465088472556192,0.445013508367315,0.435586946042005
"67",0.45049415250016,0.47033436608808,0.461596572784396
"68",0.470318993177753,0.463156821718258,0.447922135764292
"69",0.481818723278269,0.452192449011909,0.435294519526547
"70",0.449772040529089,0.450806365314071,0.427877532130697
"71",0.424041181020689,0.433321411160265,0.460621024483611
"72",0.422690078975295,0.51178323435383,0.445355020677926
"73",0.495440649450916,0.44199387270927,0.449310430272553
"74",0.450777989867598,0.435144643975654,0.440458527599133
"75",0.438948442574655,0.428537447142579,0.469259499322245
"76",0.466222447634324,0.457883593902722,0.460356131613256
"77",0.443341780069561,0.481577252823451,0.441630349999074
"78",0.466308315983153,0.451697402617684,0.44506884974915
"79",0.468637033730564,0.452684182554886,0.454639716739451
"80",0.443691986136896,0.43181994972921,0.435472681514159
"81",0.39511256187059,0.461816487666564,0.422390916802536
"82",0.443195798515781,0.442050616461934,0.440622560057923
"83",0.45868016891075,0.457914007328887,0.45242035370133
"84",0.507451024620143,0.489323777088064,0.462757257092175
"85",0.379022177318607,0.431559032994257,0.446287451929906
"86",0.426969751800111,0.439372249324976,0.451784177008435
"87",0.453679958054525,0.42838196462099,0.446177688465923
"88",0.483284329974776,0.45790333702118,0.444815484480594
"89",0.450192481092352,0.441670859165029,0.450252173155286
"90",0.524188551475437,0.422270499302406,0.454497109055541
"91",0.438928738654517,0.446761458852117,0.453353718067981
"92",0.425701794501682,0.426727725728506,0.469020723109192
"93",0.441098194870161,0.481165567425622,0.43286537010509
"94",0.464200937765748,0.490100288747338,0.46875584713288
"95",0.489728325842299,0.458814022948012,0.44477614769233
"96",0.497841537125526,0.464316482091654,0.445447515860526
"97",0.466508423976965,0.479927023580019,0.449577048871402
"98",0.434944998435976,0.438603244061957,0.453043631472994
"99",0.414903694631164,0.420666925387125,0.448502645135473
"100",0.404186292992118,0.404959795508115,0.44910953616954
"101",0.447745566955358,0.42588789455873,0.444147729512075
"102",0.439811412085747,0.421353570697312,0.455146491596945
"103",0.41670352350754,0.431050999720412,0.444256027114875
"104",0.378450053416686,0.426498061368172,0.442881408590606
"105",0.436344458048668,0.463033587840754,0.450269121074032
"106",0.426060293270567,0.488143539733344,0.462402498962035
"107",0.461762364667747,0.436684987363806,0.464312840400048
