"Beta_n_3","Beta_n_5","Beta_n_30"
0.465121536491332,0.467550169696229,0.447002220125899
0.416516639542932,0.48648521419323,0.458798162305283
0.398440905723878,0.472348949550373,0.449729926291772
0.479928176565262,0.428411137606921,0.456523292236097
0.416186708499952,0.437312528250055,0.460105706016425
0.510430935659326,0.416490023422807,0.459642954358866
0.416499508360167,0.48183000874682,0.446812505458441
0.441376106047543,0.444191830546317,0.447963333672629
0.473543450276158,0.448691664951445,0.46100459068951
0.440111443770719,0.449247683528506,0.444770349947149
0.438888081449136,0.436742472021733,0.44556617562199
0.438191360145497,0.457305381448548,0.44188518631442
0.433690881996547,0.453308989853026,0.460033439502823
0.416520762490151,0.453679920334352,0.458565158327954
0.51125305059781,0.375662770898561,0.451210765549175
0.467682519573515,0.465098807345412,0.437675365848306
0.440057585863151,0.432662412489172,0.438254848056701
0.44630513918527,0.491482135771884,0.461997057418426
0.459224117667998,0.419578996180878,0.442561958005744
0.469941967937814,0.479171756253393,0.447642513025891
0.50153465225594,0.496939146947593,0.457451766977193
0.457332339541965,0.470847749900767,0.461968018425394
0.469403930722832,0.432619665086206,0.461996851671495
0.462254791644342,0.452917119396697,0.440652635240965
0.436936849350222,0.454013154892589,0.451882192216359
0.42773907244196,0.419840145074203,0.454204066901203
0.434855310130945,0.415377402088666,0.452342833111852
0.461883093087261,0.418295906844273,0.449035988683272
0.486271235730766,0.438363368153159,0.449806004785845
0.398702174009665,0.460826656757539,0.431217703098993
0.457125167100996,0.447314447359696,0.457121817647368
0.446973020716724,0.467797689272836,0.447785491469428
0.423574907873324,0.437920740640249,0.44479043446843
0.450716047954982,0.472485330981109,0.444761206276175
0.481875487034509,0.405748781092438,0.451090984197512
0.44369798690929,0.436369449283048,0.441105543260777
0.463548004916407,0.469792316681486,0.460764952753832
0.44032699469618,0.454482853422242,0.446501973732438
0.495221780703108,0.483664626314209,0.441581798148736
0.467759113849219,0.429490206011076,0.454622202287886
0.496281259774594,0.434491639077072,0.448982320427572
0.426852489434165,0.4331464987074,0.447084082405688
0.429825877523784,0.447798555978254,0.442615529918931
0.4944365114841,0.466507266397875,0.446979263118205
0.419608010130104,0.473959510188325,0.450133245787576
0.435648660451091,0.393255834196742,0.450468527611336
0.470398684430618,0.477532497818045,0.463281380907763
0.468605323494945,0.416495645778118,0.446042338735782
0.466153024701695,0.453263061960536,0.467163498177381
