"","Beta_n_3","Beta_n_5","Beta_n_30"
"1",0.146751933280134,0.137237676614733,0.157274180146508
"2",0.120822813044157,0.177077461042382,0.144265520429289
"3",0.146371669038669,0.189395942734508,0.144143319260614
"4",0.138089563916833,0.159947058739984,0.144981074754361
"5",0.136146784143729,0.13325192878908,0.149202778022327
"6",0.139453171702826,0.122756926203961,0.145726979072792
"7",0.13695697294776,0.135526960141562,0.149092934881787
"8",0.170028428354937,0.179797273492639,0.151674386673825
"9",0.123930468031165,0.129338069779285,0.145095672675871
"10",0.151331311478761,0.150620694268618,0.149996699090881
"11",0.109061403287081,0.126482066484714,0.143837730301229
"12",0.0998968923071924,0.188448224670267,0.144140561958841
"13",0.137554112613024,0.145690911389193,0.158362637815781
"14",0.15382349168304,0.150704827059115,0.158626860736659
"15",0.135245899274961,0.140140324283778,0.151259919125058
"16",0.114370958523888,0.178737616340215,0.140092077200018
"17",0.158052480458985,0.173034846950818,0.146064019867348
"18",0.141501382127923,0.155985618199357,0.150863295815036
"19",0.134768334061042,0.12532731271687,0.15627282368885
"20",0.123610724151701,0.144780199077272,0.146416094336155
"21",0.134471214235032,0.118556437254287,0.153138156991881
"22",0.147943750348085,0.0992512410563065,0.153382630229794
"23",0.12581620387819,0.150718214655201,0.148230488924569
"24",0.158287292849835,0.15506767830112,0.146786042069104
"25",0.148752159055414,0.151877776429472,0.153096848528725
"26",0.154669779388624,0.124520870416652,0.146979703308886
"27",0.135892539850771,0.134886145657557,0.147642538283424
"28",0.122352860093613,0.180711953213747,0.161642627340937
"29",0.221867878435287,0.137697791609532,0.152643516391623
"30",0.196451905967453,0.17257814601635,0.154649218094441
"31",0.144676232677813,0.157793378578079,0.153751383216211
"32",0.15201475886185,0.16712022292638,0.144067292093353
"33",0.128223596993126,0.138413366542311,0.155855261933243
"34",0.172208416975684,0.156363073432142,0.151945878578931
"35",0.122501140785806,0.163068842739872,0.146202376862769
"36",0.16745849278262,0.156162627531609,0.137786490693453
"37",0.127548336580196,0.155726659199169,0.150791017653163
"38",0.194919835607226,0.140152774389332,0.14806779251664
"39",0.132457426612684,0.15900959712291,0.142635515066621
"40",0.164724416466296,0.164057294721705,0.143475777064341
"41",0.149493197161629,0.155945769213479,0.15320572924512
"42",0.175577976052213,0.14997217902093,0.142875541792324
"43",0.155270085763221,0.136434950608911,0.153517574569846
"44",0.078848268343358,0.131186741180174,0.151961465457245
"45",0.141895734378967,0.146776756714083,0.155106915866382
"46",0.147747489839897,0.163183320038285,0.152527286749601
"47",0.129631612914098,0.14571513238038,0.148037647403484
"48",0.123133702888231,0.156771440137164,0.151831066541205
"49",0.158322392560272,0.168917196625863,0.155193873424776
"50",0.114513252096229,0.112110869611842,0.151455808655183
"51",0.16535795569814,0.153423918715882,0.149835525048944
"52",0.135519082868356,0.140199583270108,0.146603939809933
"53",0.145057646859307,0.166329770149849,0.154673764137738
"54",0.115784612629834,0.123830134521991,0.153887438583809
"55",0.173853157044828,0.181277509693875,0.149285229918536
"56",0.17066402238254,0.141826057120996,0.134881250817747
"57",0.17251403098328,0.157139796727431,0.148551067766321
"58",0.15319710817602,0.130421833239557,0.1678825518255
