"Beta_n_3","Beta_n_5","Beta_n_30"
0.463016332831514,0.477368595933254,0.444998710648288
0.44483282784406,0.456096697716962,0.443070724931164
0.449706834525235,0.426046411133304,0.425117464326407
0.462435441488472,0.444173707568968,0.43022478907011
0.413563389237707,0.44476810348908,0.440073737280662
0.452570674843501,0.442683980874779,0.449306125539012
0.409427679815955,0.450614367892251,0.465515140377483
0.440287570260284,0.436847871130398,0.445274299039422
0.412645028207785,0.464141860294839,0.453836257466246
0.462843667385361,0.442418728343114,0.464810409025299
0.47366523726561,0.441441044986617,0.453587553686844
0.507462161119425,0.477212766368297,0.452747708306228
0.463866535444419,0.441758400991377,0.445505007025396
0.446578749997544,0.422989457599632,0.45628391486337
0.382416478700801,0.423506415315826,0.433831535598647
0.408031336495394,0.458520849867331,0.444065280888139
0.431930142707159,0.440363910621121,0.451864100471889
0.430173311727327,0.444608319041991,0.435758591807111
0.462149078176682,0.474498184141818,0.45334850526271
0.463881278679364,0.509656077954957,0.432447788265751
0.461696500856234,0.421268906126798,0.426256461199964
0.403190542025928,0.436729793908231,0.43225898102699
0.497836472173723,0.46167973398728,0.4541054914995
0.509915357856638,0.459565935608422,0.440293060264202
0.46987056361725,0.525124572330617,0.441353172017506
0.452924578898272,0.409065163714,0.45730071818365
0.49594375131453,0.450321321775484,0.446628824084391
0.412579435699523,0.414839429269092,0.448864542480811
0.437626868993436,0.435962702246049,0.456031351645987
0.42511184020823,0.408415454623436,0.462790490190681
0.481880003200414,0.445881291031813,0.442624919500243
0.431498106675931,0.452125339971884,0.436404336357693
0.42283219598284,0.424345586368762,0.473665475935674
0.455862194061806,0.452081555298271,0.457366398908728
0.410914770674817,0.449964686328503,0.444897761964527
0.49430445143618,0.460095106253962,0.464913540698262
0.480460192992487,0.45933414178943,0.434644246924749
0.485389924727604,0.470551399807865,0.443188618773559
0.452812991988657,0.472950190258816,0.445762545566852
0.379227576118279,0.480097354875928,0.45547940394717
0.407461170384562,0.422008723779421,0.45027773837929
0.510953609642024,0.423660254888314,0.442406823469842
0.404543737576474,0.436514293201204,0.462113781005189
0.441185431772562,0.447368197268062,0.468827843872921
0.406071423316016,0.411726487562194,0.442395735402594
0.440211489476987,0.440497240356818,0.446225076856534
0.480667482618534,0.45966629649425,0.44658289273533
0.467357335048236,0.448623820211318,0.456412266360685
0.524002356779899,0.429998743591294,0.448365693707139
0.445574578571995,0.432138784118668,0.461964686434226
0.450578792849851,0.446955258112136,0.459432156931351
0.515176328344696,0.427577062681567,0.445257633268157
0.457986333896436,0.463285876944695,0.449312601052641
0.481907106801967,0.451796134544845,0.451399796335944
0.430055840957582,0.428345517760388,0.455822253300687
0.388739275785265,0.44077533627902,0.438972379211149
0.497963183237471,0.476050105840673,0.457513325650641
0.422921638179895,0.482462854060237,0.449586544291413
0.464466834818708,0.45489011265648,0.440080317386424
0.438186100527174,0.471042349742011,0.450226916952166
0.48324185925638,0.491531434927406,0.449751346428273
0.472414186643007,0.467810348173266,0.460191586864323
0.418165715294289,0.436099143692707,0.463559008813635
0.436881782521757,0.461681083149103,0.456121875378883
0.411671356626266,0.436662918115064,0.458764057227076
