"Beta_n_3","Beta_n_5","Beta_n_30"
0.487720266754353,0.469385568398346,0.461467948998775
0.413929685977482,0.460093210917962,0.448011791202627
0.401029520243937,0.439628122472631,0.436853193005714
0.435746795936233,0.435521842987812,0.437156628929067
0.471360905712227,0.451289520448047,0.43490387649892
0.443624705233654,0.432134261892856,0.467325138888944
0.479988211313208,0.427021435900204,0.441359464442093
0.466487252575045,0.463130278766663,0.442635190904024
0.467492988447321,0.455056693247548,0.454675315029644
0.491102544585535,0.462214168640757,0.445475713580274
0.446948851897116,0.46043566374342,0.434317714444058
0.453438571321043,0.417888844732447,0.433467628859391
0.425326188083076,0.475890952984476,0.442520832669689
0.466670267710501,0.465862609407664,0.447593846224136
0.454729384719346,0.413882866366284,0.459868147663975
0.458473388355068,0.496892967519207,0.456467697809491
0.44973364590397,0.435892546321833,0.427190986491763
0.439182300934237,0.419335180466043,0.452887343311049
0.492143881406358,0.449254612951654,0.439303540838233
0.458086106180162,0.500144082476379,0.452309853088023
0.466534412797209,0.465995317467373,0.449500393378792
0.44457618525982,0.510180291935984,0.454219422286708
0.398894282613565,0.492582259179366,0.445136107353862
0.423972703629954,0.431230279831029,0.450217996963832
0.486036834256428,0.438203895679879,0.45891810596752
0.442113216507085,0.410976053803952,0.470939349548714
0.418517199149193,0.441039178847649,0.447989596661012
0.362078107785252,0.435883379797455,0.44369520569544
0.443257510513875,0.446022130127051,0.446640157830719
0.420335902810229,0.438940059105847,0.447969983918581
0.469628000931749,0.474696381321032,0.459550473455744
0.447092937477583,0.453661244976414,0.445006930029638
0.474197950433353,0.433666595631415,0.452085013048183
0.427144897999448,0.460057088679659,0.446596208289536
0.415840714203075,0.467848976322832,0.430347448004665
0.422731415623548,0.434017885097478,0.453096259156991
0.489893222271941,0.443432813127325,0.445855788566509
0.436891568474881,0.472580542409613,0.43502573537874
0.465865234772705,0.464178683338922,0.468574973781525
0.417300334260058,0.465910307148608,0.444587604023265
0.433390285033049,0.439215915122276,0.438499868013315
0.499015488799948,0.467617736701377,0.456484663711862
0.474760419381116,0.448788772355203,0.442949472080425
0.462882663700379,0.424347680841139,0.450517746619118
0.442416791422799,0.483099161947194,0.449174349970665
0.444627596364583,0.405230572974083,0.447263950484741
0.482392656726058,0.488647320503939,0.449875579082268
0.438638010442294,0.453374685390954,0.441464409985954
0.455021395690716,0.479011012539853,0.451079250246074
0.456432211533148,0.445479672709881,0.446540114821137
0.466180901269915,0.468988587291204,0.451889596289779
0.446469026796135,0.45248525360742,0.448639088880203
0.475798619888029,0.474219871897698,0.45155087305979
0.497977900131967,0.441346979384868,0.44931645351128
0.452582164448119,0.451745019503958,0.444515136766551
0.474847801209498,0.460676514350285,0.454161745378868
0.482217238377853,0.452843323829743,0.449563354751615
0.412473301858899,0.462796095340624,0.455727921234382
0.483041505721068,0.433174470183849,0.456741313983156
0.454215924408214,0.444858782255376,0.448085511670736
0.469154656858351,0.476735721521437,0.444877812587869
0.422602233003355,0.42195771378799,0.458590914381761
0.45877194430865,0.424924103891114,0.446275295751493
0.396822649937704,0.486525796401725,0.446752343297766
0.479541666651096,0.465862978013205,0.468713848993959
0.481213230711857,0.500272609090564,0.455932785042438
0.429187986175458,0.480829309153679,0.429326628017126
0.443066222145388,0.46287222242145,0.449992629173026
0.464936120942925,0.42600740736084,0.46091033423293
0.455666377882499,0.458436674018114,0.457979873802079
0.49687105975717,0.43842883008131,0.460335339663195
0.465360459115716,0.451128014217589,0.440470385471347
0.445303597483923,0.496951368806866,0.439078351828257
0.410049527049513,0.440923928574999,0.448619308631128
0.462893825189757,0.429508780724605,0.465112565078275
0.493933564170326,0.454663131211531,0.443154511974257
0.455280097700189,0.479978813800157,0.429654653137035
0.456528756029171,0.457730125194777,0.464887774668405
0.377647731489142,0.4349407108393,0.470342910097916
0.433983875426332,0.415478851752046,0.4623489860462
0.483824670442809,0.46552622283695,0.456349948099807
0.444811347074808,0.439296448143744,0.443330321974723
0.414798416740584,0.442540796755071,0.452847046013926
0.463703569069944,0.461143596965277,0.443183983410711
0.425874473946897,0.424338753528424,0.443715490419447
0.450685687641686,0.462248887880567,0.434859398958774
0.453805214176642,0.419285563132307,0.450436377733163
0.487714353074777,0.448542313019618,0.461247513044241
0.425955180465143,0.444871487797725,0.453508023624855
0.473920136679893,0.436048115465578,0.442475312982848
0.46338865898321,0.433914153051482,0.455886742491548
0.465604772202687,0.453205241128249,0.439313847549898
0.420175449888264,0.469146343860315,0.450665804227383
0.50669901582992,0.466118495869003,0.457001718405273
0.457918200985929,0.426834561723354,0.433374838992562
0.450736138231822,0.423221048227038,0.457300004129558
0.448831498218764,0.466371898709741,0.450685263903382
0.482588836162063,0.447643163793661,0.440364082274011
0.420248097272603,0.470362423528317,0.464642725073077
0.401781554079406,0.434343733444471,0.457319181827914
0.47538824041033,0.404531687067672,0.441898117304694
0.454042156359682,0.420302424768577,0.443429365059206
0.438498395645118,0.434478579113231,0.440409495586008
0.483012635179772,0.484883973760751,0.451927459149856
0.442472822963672,0.440173992422252,0.452991683895917
0.464964055602136,0.459314019764088,0.448184534246821
0.484501333974343,0.460033153919669,0.446497834785759
0.468036123068816,0.47992354647709,0.420199118026423
0.47770723590544,0.429388450842223,0.456093799529179
0.407136832575822,0.421416411891141,0.454846404049818
0.462980787341026,0.432433266865791,0.442450477657795
0.46604960598674,0.456520187795947,0.455267914872762
0.395899459839677,0.419393697338454,0.449077440028924
0.436826962899832,0.45542331325342,0.431100546034272
0.419026809367282,0.437493784465548,0.429008615401715
0.444764543514173,0.465396558763599,0.44238062808264
0.429434663736229,0.458262237161701,0.449607464352575
0.471977825165713,0.477549044711793,0.448433465266966
0.460379089788858,0.398332074843414,0.436695264764325
0.419752966631506,0.479304902926688,0.445873167336526
0.432596916812361,0.422644625745116,0.450961519973707
0.458136881400362,0.455344760711919,0.428607623404003
0.473924392528277,0.477845630671637,0.443621342651666
0.431249878655506,0.454458518068499,0.451874822660144
0.409181777769925,0.412479320339098,0.448795842946486
0.437785942930929,0.437561343942104,0.44931883453954
0.469073809900533,0.465702812576399,0.462323467481328
0.424333784057768,0.446124834896103,0.462580535717314
0.455362440016182,0.392830343861088,0.435192084083045
0.481609083442017,0.464500528287633,0.446362509209314
0.452661087754009,0.43402343851318,0.426010786464993
0.437668154994934,0.439015992489584,0.440687680498872
0.430326992585022,0.467513887295377,0.471566155335383
0.440886206299996,0.448047808097999,0.446209456871811
0.404316847792278,0.437862570177253,0.45763175336436
0.461177130945958,0.463932497600257,0.460491970856063
0.44055439515717,0.439094430422179,0.471202583136264
0.454300484894605,0.457175614984568,0.45887167892024
0.476961263320034,0.419794341536846,0.467005349972372
0.438507693982937,0.439612705626848,0.447736843314742
0.472237714135511,0.423723632269423,0.46098492225014
0.390063533406836,0.4682833520861,0.43786338061205
0.461203210141308,0.480529775770514,0.456740737786651
0.488060815899607,0.492026336606392,0.453568678235702
0.402688332076437,0.437735345054156,0.453411384788137
0.467668082453071,0.470460103585964,0.441515374705539
0.476335763284342,0.409872852612941,0.46014455804718
0.424488544924402,0.453199610988698,0.451616117931251
0.486899344919823,0.444520466693291,0.458599937721816
0.454897034342349,0.435369049977423,0.451227648343926
0.475068296345378,0.475613151587254,0.449205830615545
0.490874106024752,0.396307025712742,0.444462798640496
0.393026284094847,0.465526960078534,0.448022466418493
0.46894142397505,0.477568172980005,0.446895064627543
0.481984907378515,0.48846214593237,0.447469396848024
0.479190711546601,0.426969337034696,0.449451061648946
0.397428749115218,0.436609066013341,0.449952649501213
0.41460109987466,0.435784539459933,0.440388693427635
0.461665218463244,0.474433210533379,0.444069005181674
0.431536282273351,0.454469609949438,0.449253922755833
0.475825038381341,0.472350304648943,0.447706352100949
0.454542652664638,0.432219624860759,0.460231563511118
0.468318304548082,0.416896339417429,0.436581584333233
0.445494323178198,0.41665749455763,0.445865722395808
0.413307197990896,0.465397433257716,0.450173072470294
0.502362235192166,0.44822880949222,0.447053630812095
0.459562727217755,0.472122685308639,0.447855996192421
0.432319547452442,0.50486772445112,0.44011402583119
0.456784756211746,0.44923263985421,0.453530544252663
0.455452267169933,0.43116064592762,0.44241723445883
0.453767894216806,0.469833440099558,0.447504307866314
0.438624516134241,0.443799846373021,0.448812773533874
0.481461697641159,0.459843774251115,0.447302116022065
0.482047530458228,0.463216826674947,0.447747350422939
0.482473444043758,0.46541588747807,0.454456867481252
0.478857396340996,0.442114883700491,0.443898920476238
0.429527016717228,0.456684074381007,0.436851402392825
0.431424415447602,0.432005402427452,0.464840495520411
0.455347817566954,0.487491481313589,0.447117815547425
0.440734878142945,0.438942146807707,0.44378364812204
0.458823264520912,0.458174310728282,0.437578018955423
0.457018948003713,0.450660470856969,0.466877082729566
0.457896171440032,0.417356937526342,0.442653211250427
0.469645268910197,0.450274610246537,0.454490093739784
0.446327512430583,0.423690909393836,0.444544095803408
0.458174276058851,0.437261519411212,0.444105540785039
0.463552403733668,0.429891428882466,0.459222087015071
0.469024996208821,0.408732206200869,0.441992119491488
0.466331795003915,0.434305847739705,0.455211145071879
0.479396325278455,0.43380900596326,0.46578484961892
0.475340999081369,0.419582968827275,0.438613674799898
0.483302071334605,0.451067521964498,0.438937752844853
0.453364674843631,0.474817136204199,0.458747464935288
0.398314480799381,0.44190289244704,0.450379742696552
0.466461040608782,0.465684613157673,0.454428812001288
0.41246971249967,0.440089329174245,0.45151537674924
0.533094363446101,0.449463349287386,0.442829893033321
0.381368356849809,0.465685486597136,0.445120341180922
0.41206046688018,0.430264734137331,0.467884355858082
0.46427067246264,0.464610254712168,0.467148801164787
0.388375956350052,0.437938085905056,0.44667428461215
0.421570259540837,0.435540283037873,0.445277301688488
0.409250304125262,0.452623575756376,0.468967565127277
0.453048829879837,0.465787993180006,0.458050957717039
0.496473331690767,0.462361209189104,0.441112054540976
0.417350896235569,0.476910196209524,0.456369076809846
0.47484765530317,0.474738563573387,0.446444568499807
0.491144945461162,0.49967145695967,0.466518959793548
0.481680644783097,0.490762369661984,0.453734942550632
0.387374205557052,0.433978139343542,0.452277726500241
0.414100636477547,0.490687619164191,0.449891432569112
0.435449572689257,0.448646716759421,0.457214583801818
0.492286816717237,0.403270087184734,0.464687060655826
0.461445383771227,0.462856915298666,0.463107610028494
0.436988078036628,0.46167650507215,0.451654900002512
0.376062939133973,0.49993622951165,0.448632973339238
0.457012279692436,0.478891116610169,0.460543161384192
0.48334788217748,0.467816806899161,0.440659240664423
0.47366536567235,0.448844671424356,0.435404553552685
0.426562299775901,0.413082962869955,0.465439845543092
0.4391867255149,0.422085013824214,0.444228141972033
0.434913839518711,0.435371796624021,0.451067646798086
0.462598814574212,0.464270018339117,0.452519056560244
0.455614970831146,0.38944402442166,0.457382901966644
0.452196027665104,0.441539570084352,0.456898015604515
0.467459756620932,0.44332540957353,0.435498396844242
0.461604324404473,0.449618671242393,0.448599367757758
0.464308086853023,0.48796650050964,0.454439718446269
0.466798560565192,0.433010623540173,0.452874526869065
0.446172639332979,0.396681682453569,0.447409853631349
