-/-,aTc/-,-/OC6,+/+
0.01541488,0.6309678,1.28986628,1.25689942
0.01096434,0.67004568,1.07668698,1.00196412
0.01145067,0.57680659,1.11247176,1.0242632
0.01521013,0.64589032,1.05287548,1.1631035
-0.0088513,0.53263478,1.13055047,1.2055302
0.00609438,0.46737946,0.81170878,1.02299169
-0.0062707,0.70589416,0.85794005,1.21211945
0.02262747,0.68126828,0.87244924,1.3145158
0.00011831,0.59103951,1.009338,1.01689994
0.0024843,0.73703701,1.12102121,0.65570212
-0.0050595,0.56838074,1.09603906,0.94152495
-0.0071193,0.62214345,1.0015758,0.81900271
0.00919993,0.47412825,1.04103208,1.12169983
-0.0112056,0.64438142,0.90526726,1.02404786
-0.0032231,0.50477366,0.98041009,1.01322368
-0.0092805,0.53451701,0.96364627,0.88361917
0.0074148,0.68330973,1.06716955,0.93681312
0.00706348,0.49167009,0.90694017,1.06107886
-0.0086115,0.55958195,0.96525178,0.89368157
0.00327369,0.58603204,1.03166673,0.98988151
-0.0085049,0.61292393,0.97481385,1.01172658
-0.0106971,0.63222417,1.06307715,0.9088774
-0.0051352,0.58196307,1.01811412,0.93510208
-0.0063823,0.45523594,0.9866786,0.87685484
0.00260124,0.57411018,1.09074008,0.99603196
0.01034902,0.61895804,0.9796469,0.95659197
-0.0056056,0.59724304,0.83700297,1.2863574
0.0008198,0.61836546,1.34439752,0.96001899
0.00412299,0.63446305,1.00723704,0.90272123
0.00041148,0.74268338,0.9152411,0.82259455
0.01297497,0.56023047,0.75978398,0.89152674
0.00960499,0.66637061,0.82416612,0.89962072
-0.0037613,0.73891604,1.17869747,0.84422131
-0.0095922,0.60879953,1.19766818,0.87502313
0.00384469,0.81868055,0.91405302,0.89380586
0.01191703,0.60273273,1.2970833,1.19302723
0.01138259,0.57668275,1.14336646,0.9159265
0.00445937,0.54759602,1.12936704,0.85689749
0.01138055,0.5624841,1.16726337,0.91624435
0.00106578,0.58135708,1.2039226,1.01774095
-0.0190105,0.55165005,1.0885138,0.77662854
-0.0033957,0.85109772,1.17832797,1.07642593
-0.0014325,0.65086066,1.07922551,0.86515532
0.00715768,0.69164785,1.21739601,1.06497167
