-/-,aTc/-,-/OC6,+/+
0.01082396,0.48335957,0.61769439,0.65018441
0.01148112,0.50126885,0.50133554,0.7319301
0.01219709,0.46025201,0.61279846,0.84578017
0.01238398,0.417729,0.66621827,1.03087488
0.00838627,0.66791026,0.95238809,0.77855045
0.0038179,0.52080959,1.0313469,1.04375382
0.00448822,0.42254567,0.84448864,1.00097809
0.00412286,0.72974991,0.75118914,0.98106153
0.01216443,0.81619598,0.73584592,1.06159595
-0.0001805,0.8987405,0.51904311,0.61358389
0.00263028,0.63517912,0.85795215,0.86360096
-0.0035573,0.70134149,0.92729262,0.87175759
-0.0004897,0.77605014,0.8477821,0.79579449
-0.0053139,0.65185249,0.7911111,0.86244225
0.00239213,0.70755959,0.92016183,0.73086039
0.00190989,0.68358189,0.74085076,0.60347024
0.000022355,0.55045692,0.87051853,0.71119318
0.00482633,0.94371275,0.74434628,0.80736067
0.00690936,0.57574217,0.66253902,0.95555636
0.00100945,0.45398356,0.64772419,0.81892552
-0.00006433,0.82821374,0.8885587,0.90152488
-0.0073647,0.92573039,0.81229546,0.89867696
0.000012212,0.79092394,0.53071751,0.86138578
-0.0016528,0.73933279,0.8080683,0.87912122
-0.0013932,0.74072766,0.76887418,0.9993031
0.00711559,0.43361769,0.6967284,0.62555415
0.00465359,0.60543495,1.00283272,0.69951429
0.00386118,0.63091738,0.42220647,1.27926553
-0.0035889,0.67153031,0.72798056,0.88386369
-0.0080107,0.93755734,0.96871374,0.77021608
-0.0090577,0.81746057,0.60986643,0.78088352
-0.0087389,0.80240373,0.38509047,0.67018266
-0.0046832,0.71214387,0.75283528,0.93205977
-0.0063353,0.64324217,0.59774806,0.56818968
-0.0048338,0.88482045,0.67728451,0.61085606
-0.0103149,0.39084316,1.01266885,0.75687919
0.0011934,0.72365604,0.6114128,0.97224149
-0.0009063,0.82655001,0.57866815,0.76863514
-0.0071285,0.79651473,0.67808323,1.05039681
0.00207871,0.50756048,0.89607984,0.84366822
0.00569387,0.70572352,0.83754264,0.89978934
-0.0044428,0.63783216,0.84890939,0.74395787
0.00900067,0.69479374,0.58881084,0.83367182
0.00106023,0.62313234,0.82066028,0.95419659
0.00627675,0.63742426,0.5427482,0.78022063
